file_id,file_path,directory,file_type,size_bytes,analyzed,summary,issues_found,importance,status
1,.dix_secrets.env,root,.env,4140,no,,,,pending
2,.dockerignore,root,no_extension,369,no,,,,pending
3,.gitattributes,root,no_extension,66,no,,,,pending
4,.gitignore,root,no_extension,1430,no,,,,pending
5,.pre-commit-config-turbo.yaml,root,.yaml,1599,no,,,,pending
6,.pre-commit-config.yaml,root,.yaml,572,no,,,,pending
7,AGENT_OPERATIONS_CENTER_DESIGN.md,root,.md,24844,no,,,,pending
8,AI_PROVIDERS_IMPLEMENTATION_COMPLETE.md,root,.md,7194,no,,,,pending
9,ALL_COGNITIVE_FEATURES_ENABLED.md,root,.md,8366,no,,,,pending
10,ALL_FEATURES_COMPLETE_REPORT.md,root,.md,10408,no,,,,pending
11,all_files.txt,root,.txt,12587676,no,,,,pending
12,ALL_OPTIONS_COMPLETE.md,root,.md,6661,no,,,,pending
13,ALL_PHASES_COMPLETE.md,root,.md,4791,no,,,,pending
14,ALL_REMAINING_COMPONENTS_IMPLEMENTED_COMPLETE.md,root,.md,13730,no,,,,pending
15,API_KEYS_SETUP_GUIDE.md,root,.md,6135,no,,,,pending
16,AUDIT_AND_ROADMAP.md,root,.md,177,no,,,,pending
17,AUTO_BUILD_CONFIGURED.md,root,.md,2022,no,,,,pending
18,BATCH_PATH_ERROR_FIX.md,root,.md,1562,no,,,,pending
19,bootstrap_kernel.py,root,.py,4258,no,,,,pending
20,build.ps1,root,.ps1,1077,no,,,,pending
21,build_file_index.py,root,.py,2089,no,,,,pending
22,BUILD_PLAN_STATUS.md,root,.md,4885,no,,,,pending
23,CI_CD_OPTIMIZATION_PLAN.md,root,.md,8934,no,,,,pending
24,cleanup_models.py,root,.py,1315,no,,,,pending
25,cockpit.py,root,.py,1125,no,,,,pending
26,COGNITIVE_INTEGRATION_QUICKSTART.md,root,.md,5812,no,,,,pending
27,COGNITIVE_SYSTEM_INTEGRATION_PLAN.md,root,.md,22604,no,,,,pending
28,collection_output.txt,root,.txt,982003,no,,,,pending
29,complete_file_index.txt,root,.txt,2420883,no,,,,pending
30,complete_file_list.txt,root,.txt,588994,no,,,,pending
31,COMPLETE_SYSTEM_INTEGRATION.md,root,.md,16174,no,,,,pending
